category,desc
Program Management,"Provide account and campaign servicing for a portfolio of accounts for select performance products.
Analyze client’s business objectives and challenges to accurately assess needs, working collaboratively to create campaign management plans for short and long-term account growth.
Be an advocate for clients and your team to drive business growth through best practice sharing. Build new processes and solutions to simplify complex product optimizations and workflow.
Anticipate business growth challenges and identify/lead programs that can influence resolution of these challenges. Manage stakeholders and operations with limited guidance.
Provide insights to influence business growth. Support product and global teams, providing them with feedback and formulating product asks relevant to client and market needs."
Technical Solutions,"Help partners in their day-to-day challenges by delivering innovative and scalable solutions to their problems, troubleshooting their issues and performing implementation reviews. Advocate new product features and ensure the prompt and proper resolution of technical challenges.
Assist clients in the adoption of new products via upgrades and migrations to develop their long-term success and improve product offerings by providing client feedback on features to Product Management and Engineering.
Guarantee the technical aspects of client integrations (both new and ongoing) by providing necessary documentation and technical guidance. Analyze and optimize the development of existing clients to ensure their success with the Google suite of products for partners.
Present in front of small or mid-sized groups of internal stakeholders and customers.
Travel as required."
Technical Solutions,"Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time."
Hardware Engineering,"Plan the formal verification strategy, create the properties and constraints for complex digital design blocks.
Utilize formal property verification tools combined with formal verification closure techniques to verify properties.
Resolve difficult to verify properties.
Contribute improvements to methodologies to enhance formal verification results.
Architect and implement reusable formal verification components."
Program Management,"Build in collaboration with the Corporate Engineering, Google Cloud Product Areas and Google Cloud Marketing teams a top Partner to Partner exchange that scales as Google Cloud grows and leverage and showcases the technologies that make Google, “Google.”
Develop processes and provide governance to upload and manage applications, and connect with other Cloud Partners.
Lead the business design and requirements of Partner to Partner exchange system and implementation.
Work with Partner Marketing on extending Partner narrative to highlight the benefits of having a partner to partner exchange by extending the Partner’s current cloud offering.
Influence and work with Corporate Engineering and Product Areas to sunset existing marketplaces."
Manufacturing & Supply Chain,"Develop short and long range supply and demand models that seek to minimize total costs and inventories while maintaining excellent service levels to partners and customers worldwide.
Present supply and demand recommendations to leadership, deliver timely decisions and ensure clear and concise communication to all stakeholders in the supply chain.
Collaborate with Demand Planning, Sales Operations, and Product Management teams to comprehend and influence demand assumptions, scenarios, inputs and adjustments to consensus forecasts.
Work in partnership with NPI and Sustaining Operations, Materials Management, and Global Commodity teams to set optimal build plans and transportation choices to meet strategic goals and budgets.
Manage product success by keeping stakeholders accountable for various business metrics."
Program Management,"Design a compelling portfolio of technical trainings, tools, resources, incentives, product roadmaps and white space analysis for partners.
Build a model to ensure our partners are provided the guidance and expertise to be incredibly knowledgeable with GCP.
Build consistent offerings to energize the market and ecosystem to partner with Google."
Manufacturing & Supply Chain,"Support teams to transition new product and process introductions into CM factories. Support Identify and highlight Manufacturing/Assembly/Test issues and ensure optimum product quality and line throughput levels are met.
Interface with Contract Manufacturer Factory teams to improve process controls, cycle times, process/product yield, and drive cost reductions. Understand existing processes, equipment and fixtures and find ways to improve by means of re-design, added design or additional training.
Perform FMEA reviews of each fixture, equipment and process step, identify all potential failure modes and process risks and drive mitigation steps with Contract Manufacturer and Product Design teams.
Contribute to process flow planning, line balancing, assembly process definition/design and investigate alternate assembly methods/equipment and automation to reduce headcount on assembly lines and increase process controls for quality assurance.
Support post ramp product/process changes, assembly line optimization, production expansion activities and validation of Online/RMA repair processes at Contract Manufacturer stages."
Program Management,"Serve as point of contact for partners and manage consistent and operationally efficient “partner first” business practices to onboard and support our partners through their partnership lifecycle.
Understand and propose the necessary systems and process changes to reduce friction for our partners and sales teams.
Contribute to the development of existing and future state partner onboarding activities and initiatives that develop ongoing touch points with partners to increase their success with Google Cloud.
Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem."
Technical Solutions,"Investigate and track client implementation concerns and collaborate with cross functional team to resolve any Google Analytics implementation issues.
Work collaboratively in a large sales organization to drive market share growth for the product. Coordinate internal resources across many functional areas to fulfill customer needs.
Develop strong relationships within all levels of major advertisers, publishers, resellers and agencies to serve as a trusted consultant in order to solidify and grow these relationships.
Manage current accounts and consult clients on how best to leverage digital ad platforms with a data-driven approach."
Technical Solutions,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Product & Customer Support,"Lead the setup of the optimization vendor teams (This includes but is not limited to defining the training plan, setting up workflows, defining scope, quality processes and delivery).
Work with LCS performance leads to define clearly the business/account coverage through this effort and agree on success metrics that matter.
Develop relationships, influence and collaborate with in-country teams by working directly with LCS sales management and account management teams.
Function as the primarily stakeholder for LCS and engage comfortably at an executive level. Communicate and advocate initiatives with senior management.
Manage the overall relationship with the vendor teams. Handle all escalations/feedback to drive quality and productivity improvement."
Partnerships,"Open doors with potential partners, lead exploratory talks, build consensus with senior executives internal and external to Google, negotiating complex strategic partnerships that are often first-of-its-kind, manage partnerships to deliver results, and build strong long-term partner relationships.
Drive and execute distribution agreements for Google services on Android devices.
Identify and prioritize partner targets; become an expert on each target’s organization, business model and strategic priorities.
Build and nurture strong relationships with third parties, working directly with some partners and through “one-to-many” models to reach large partner ecosystems.
Serve as ongoing Android relationship manager for the agreements, helping to realize and optimize value from the partnership."
Sales & Account Management,"Build strong relationships with partners at various levels of the organization, understanding their needs and translating those needs into partnership enablement plans.
Work with internal stakeholders cross-functionally to flawlessly execute partnership business objectives.
Design and implement business growth and technical training initiatives to meet partnership goals and support strategies.
Build and support both broad awareness and deep skills enablement through programs and initiatives.
Drive reporting to internal and external stakeholders on key enablement metrics while developing and applying insights to continually improve the business."
Sales & Account Management,"Manage the mobile search book of business of an assigned specific area, from planning and presenting, to reporting.
Identify new opportunities to increase customer marketing investment efficiently on mobile.
Develop high-level relationships to serve as a mobile trusted consultant with major customers to optimize their advertising growth.
Simplify and package Google mobile advertising offering for sales and customers and serve as a liaison with vertical teams and customers regarding new beta tests and product launches.
Support product strategies working with product and global team, providing them with feedback and formulating product asks relevant to in-market needs."
Product & Customer Support,"Build and maintain the Support Operations Analytics infrastructure.
Customize and maintain tools to provide insights and visibility into key strategic and operational performance of the organization.
Define and action analysis on operational data sets to provide strategic recommendations to multiple levels of leadership; package analysis for reports and presentations to shape strategic and operational decisions.
Draw insights from analyzing data to improve Support Operations quality and efficiency.
Contribute to strategic planning around product launches."
Partnerships,"Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle.
Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams.
Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud.
Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem."
Sales & Account Management,"Manage teams of account managers to deliver excellent performance, develop their digital marketing expertise, and mentor them, providing supportive and honest career evaluations and facilitating professional development plans.
Coach on expansion Sales, Implementation and Measurement to ensure that goals are met by ensuring that key plans are in place and that recovery plans are implemented if required.
Track activity, provide detailed data analysis and drive consistent customer relationship management (CRM) tracking.
Identify process improvement areas and solutions, share and encourage best practices, across both local and in-country Large Customer Sales (LCS) teams.
Analyze data, trends and client performance and develop robust strategic plans for customers ensuring long-term regional business plans are in place."
Product & Customer Support,"Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches"
Sales & Account Management,"Manage Performance relationships from C-level executives to search media planners. Drive all YT4P initiatives and develop and help drive performance video media strategy.
Partner closely with Agency Team stakeholders (Media Agency Leads, Performance Agency Leads, etc.) to support and deliver on overarching team strategy.
Cultivate relationships with GPLs, PMs, and GTM experts focused on YT4P. Inform product roadmap and selling narratives by consistently delivering agency feedback back to Google stakeholders
Function as Agency Team expert in all aspects of YT4P including ad formats, measurement and analytics, creative, and optimization.
Maintain accountability to business growth targets and YT4P product adoption for assigned agencies; partner with vertical teams to develop quarterly joint account plans designed to drive new YT4P business opportunities."
Sales & Account Management,"Drive Google’s relationship with all levels of advertisers and become the primary point of contact for customers and their dedicated agency partners. Serve as a trusted consultant to build a deep understanding of client needs (both technology and advertising-related) and to grow lasting partnerships with key clients.
Drive marketing performance for clients through consultation, implementation of optimal ad technology, and media strategy, thereby growing business and account performance.
Manage multiple complex opportunities and projects simultaneously (e.g. coordinate the design of optimal technical set-up, structure proposals, drive optimal implementation of media plans, etc).
Drive cross-functional projects to deliver on the specific needs of our clients, working in conjunction with internal partner teams.
Work in close cooperation with internal Large Customer Sales (LCS) or Global Client and Agency Sales (GCAS) teams in order to drive holistic technology and media agreements, while also collaborating with Google’s agency teams and partners."
Sales & Account Management,"Apply your vertical sales and marketing knowledge to drive incremental growth.
Lead development of scalable sub-vertical narratives that enable success for your team in priority areas.
Lead consumer-focused primary research programs that can unlock new growth opportunities for the vertical.
Advocate storytelling principles and high quality visualization, enabling the vertical to elevate their customer conversations.
Execute on the vertical engagement plan (developed in partnership with the SDM team lead and Industry Director), working in close partnership with Head of Industries, Account Executives, Analytical Leads to deliver on strategic goals."
Sales & Account Management,"Manage trusted relationships with clients within the CPG (FMCG) vertical and develop a thorough understanding of their business challenges.
Leverage on this strategic partnership to add value to our advertisers' business and hence grow their business.
Think of creative ways to constantly improve relationships with our clients and grow client business.
Persuade clients of the wider strategic opportunities in relation to AdWords.
Improve clients' campaign performance and business growth."
Sales & Account Management,"Engage with prospect organizations to position Google Cloud Platform solutions through strategic value based solution proposals, references and analyst data.
Work with wider Google AdWords and Google Cloud account teams to develop and drive pipeline, and provide guidance. Work with Google Cloud Platform partners to develop campaigns.
Serve as the primary customer contact during bid submission, pilot test, legal review and procurement. Keep records of customer interactions and provide quarterly projections.
Build a pipeline of customers within selected verticals.
Leverage Google Sales Engineering and marketing resources, and provide input on current collateral materials and ideas on how to improve them."
Sales & Account Management,"Build and maintain strong ownership regarding DoubleClick Digital Marketing (DDM) across an allocated portfolio of agencies and clients to support advertiser and agency organizations in their alignment into a data driven marketing market environment.
Drive performance for clients through implementation and consulting, growing the platforms business and account performance.
Articulate programmatic media’s value proposition to clients focused on traditional digital media channels.
Take complete responsibility for performance of campaigns under your watch and serve as a consultant to top agencies and clients. Manage expectations transparently and constructively.
Share continuous product updates and beta opportunities that will enhance current media capabilities, leading to incremental media business shifting to programmatic channels."
Sales & Account Management,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Customer Engineers, and Google Partners - all to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Product & Customer Support,"Apply advanced statistical methods and work with large, complex data sets.
Solve difficult, non-routine challenges, and clearly communicate highly technical results and methods.
Interact cross-functionally with a wide variety of people and teams.
Lead investigations into multiple streams of ads quality data."
Sales & Account Management,"Manage trusted relationships with clients and develop a thorough understanding of their business challenges.
Leverage strategic partnerships to add value to our advertisers' businesses and to drive growth.
Persuade clients of the wider strategic opportunities in relation to AdWords.
Improve clients' campaign performance and business growth."
Program Management,"Set the standard for successful delivery and execution regarding customer engagements. Lead by example when it comes to making customers in your region successful.
Share best practices proactively with your counterparts in other regions. Emphasize shared success across your team and across regions.
Establish and maintain your team’s position as key strategic advisor to business executives and IT stakeholders for Google Cloud’s accounts, ensuring their business priorities are met using Google Cloud solutions.
Work with customer technical leads, client executives, and partners to manage and deliver successful migrations to Google Cloud solutions.
Build the capabilities of Google’s channel partners in your region by establishing Professional Services Organization (PSO)/partner go-to-market strategies, and by actively developing and sharing best practice recommendations gained during customer engagements."
Sales Operations,"Work with the Sales team to identify and qualify business opportunities. Identify key customer technical objections and develop the strategy to resolve technical impediments to business transactions.
Take responsibility for technical aspects of solutions, including activities such as supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work closely with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments.
Prepare and deliver product messaging in an effort to highlight the G Suite value proposition using techniques including whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Deliver recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Partnerships,"Manage business performance of partners and map partner capabilities and priorities with business goals and strategies to work towards strategic objectives; manage quarterly business reviews with key service partners and Google leadership.
Drive partner value propositions into Partner Sales Manager (PSM) and/or Sales teams, and support PSM’s/Sales teams on complex agreements when needed.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google’s Cloud Platform technologies to partners, to help them scale our joint business.
Advocate Google’s strategy at industry events and shape industry agenda and standards; drive and support regional demand generation activities and events with partners.
Shape Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales, and Marketing; support regional engagement with strategic global and regional partners."
Partnerships,"Lead the development of OEM go-to-market strategy by partnering closely with OEM Product, Marketing, Sales and Channel teams to drive OEM sales for enterprise and Education Chromebook adoption.
Achieve OEM goals by building pipeline, pipeline review and forecasting as well as providing additional required support in assisting OEMs win Chromebook units in enterprise and education.
Participate in ad hoc projects that are focused on the strategic growth of the Chromebook business by identifying key insights from data, competitive environment, industry trends and operating metrics.
Execute OEM Channel Sales enablement including trainings, executive briefings, and joint customer engagement.
Manage relationships with internal stakeholders and cross-functional teams including product, engineering, marketing sharing best practices, and be the voice from OEM field and channel sales teams as well as customers to enhance Chrome ecosystem e.g. product roadmaps, marketing strategies, sales and channel incentives."
Sales & Account Management,"Contribute to account/territory strategy by performing internal and external research to identify opportunities and challenges.
Prepare customer proposals and account plans to support the business cycle.
Analyze customer and industry data to provide key business insights, prepare Customer Business Reviews and help identify ways in which Google Cloud can transform their business through defined insights.
Support pipeline building activities by actively engaging with leads, including senior executives and stakeholders, and supporting planning of customer events."
Product & Customer Support,"Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches"
Product & Customer Support,"Implement creative ways to improve our customer relationships, tailor and share online marketing strategy suggestions, and promote other Google products.
Communicate with customers proactively, via phone and email.
Provide strategic advice and help our advertisers get the best experience from their advertising investment by working in a consultative role with customers.
Deliver against strategic goals consistently, while prioritizing and delivering outstanding customer sales experience to Google's advertisers."
Partnerships,"Develop and manage partnership strategies to reach Google scale and efficiency.
Work with and influence cross-functional teams and partners to build and launch new products.
Lead teams to develop and structure terms to present to executive management.
Represent Google externally and manage strategic relationships to maximize value for both parties."
Product & Customer Support,"Build a global quality assurance program, driving consistency and continuous improvement across workflows/processes.
Improve key performance indicators by evolving the quality assurance system to better measure and identify improvement opportunities in agent performance.
Build relationships with senior members of cross-functional organizations to represent what agent skills drive strong performance.
Work alongside YouTube’s online products/services teams to prepare for product launches and keep pace with product and policy changes.
Leverage quality management principles like Six Sigma, Total Quality Management, and the Toyota Production System."
Sales & Account Management,"Collaborate and consult with agencies with the goal of extending relationships, increasing our client and agency base and optimizing their advertising strategy.
Deliver consistently against assigned targets on new and existing business, while delivering an outstanding business experience to Google's managed agency partners.
Build compelling, data-driven long term agency plans leveraging market insights and research. Synchronize agency plans with our agency pod and internal cross-functional teams to further develop our agencies.
Be an ongoing trusted thought partner for the Management Team regarding strategic initiatives and agency-level planning.
Analyze data trends and client performance, develop solid strategic business plans, and prepare and conduct strategic pitches and business presentations."
Sales & Account Management,"Correspond with agencies and clients on high priority activity using your stakeholder management capability.
Go above and beyond service excellence to showcase clients' business value and encourage future growth of our partnerships.
Improve and educate clients constantly on the latest brand products, betas and insights to keep them up-to-date on opportunities across our solutions.
Use your prioritization and time management skills to balance urgent work with important clients in an often high pressure environment.
Deliver service excellence and key performance indicators (KPIs) fulfillment for complex, continuously on and flighted activity."
Product & Customer Support,"Excel at product policy enforcement on known spam and risk related patterns and manual investigations
Identify new or emerging patterns and build operational processes to proactively handle them
Build scale and efficiency through automation and intelligence and drive workflow improvements
Collaborate with cross-functional groups such as Engineering, Sales, and Legal to increase automation, update policies, fix product loopholes, and provide a better online experience for our users
Work with large and unstructured data sets to get actionable insights"
Sales & Account Management,"Manage opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities.
Deliver against assigned strategic goals while prioritizing an outstanding customer experience to customers and prospects.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Work with our Customer Engineers and trusted Google Cloud Partners as a critical member of the sales team to maximize business results and cultivate opportunities with small and medium businesses (SMB)."
Sales & Account Management,"Work closely with the GMS organization to understand the business intelligence and insights needs of all end users, from our team of EMEA product specialists to the executive leadership team.
Design Product reviews to provide insights that meet the needs of the GMS organisation.
Provide thought leadership to the GMS organization, translating big data into actionable insights and supporting strategic business development, including opportunities for product, program and process improvement with a focus on driving significant business growth.
Perform ad-hoc analysis to predict, measure and interpret business trends and to inform business partner decisions.
Communicate insights on a regular basis to the appropriate level of management."
Sales & Account Management,"Help partners in their day to day challenges by delivering innovative and scalable solutions to their issues, and assist them in the adoption of new products to develop their long term success.
Troubleshoot technical issues, escalate bug reports, proactively identify customer needs and work with Product Management and Engineering to improve the product.
Develop and deliver customized technical trainings and documentation to accommodate the team’s product knowledge needs.
Find process or business improvement opportunities and build your own tools to test them, in order to help the sales teams qualify needs, pitch, and implement technical solutions."
Product & Customer Support,"Provide consulting services, share best practices and conduct technical troubleshooting for clients.
Work with core teams to develop strategy, including best practices, change management and optimization analysis.
Implement new product features as they relate to client product usage.
Collaborate with the regional and global Sales and Services teams to lead monitoring exchange activity efforts and to track performance against goals.
Ensure project team, internal management and external customers receive appropriate, timely and accurate project information and status updates, identifying delays, budgets and technical quality concerns so that they can be proactively addressed."
Sales Operations,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Inside Sales Representatives, Customer Engineers, and Google Partners to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Partnerships,"Define customer-centric and industry-specific use cases for Google to target via service partners; build ecosystem of service partners for Google’s Cloud Infrastructure offerings and Google SaaS offerings.
Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products; develop Google reference architectures and solutions. Commit partner resources to product sales and implementation for end customers.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google’s Cloud Platform technologies to partners, to help them scale our joint business.
Manage business performance of partners and map partner capabilities and priorities with Google strategies to achieve strategic business goals.
Define and manage Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales, and Marketing; support regional engagement with strategic global and regional partners."
Product & Customer Support,"Investigate abuse and operational trends, or useful ML features based on big data sets.
Optimize process workflows with production-level pipelines and documentation.
Analyze and prioritize various data feeds to reveal top issues, recommend and influence action, liaise with cross-functional teams and stakeholders (Engineering, Policy, Sales, Legal, etc.) to drive the resolution of challenges.
Design and prototype dashboards to provide insights at scale that meet the needs of management.
Communicate insights on a regular basis to the appropriate level of management."
Sales & Account Management,"Cultivate and develop relationships with a set of strategic accounts. Connect with key stakeholders within these accounts.
Build and implement strategies to drive business growth.
Develop strategic agreements, leveraging the partner ecosystem.
Engage and coordinate internal groups as well as partners to meet transformation goals for key stakeholders.
Increase the level of visibility of these accounts in the market."
Sales & Account Management,"Develop and update quarterly business plans in a fast-paced and rapidly evolving industry.
Use your understanding of industry/client objectives to identify growth strategies beyond your existing book.
Create opportunities for our clients by presenting Google products with structure, thoughtful measurement solutions and compelling supporting data.
Up-level Google’s standing in the industry continually by identifying and participating in opportunities for best practice case studies, public speaking events and press.
Develop and maintain senior relationships to serve as a trusted partner to our customers."
Sales & Account Management,"Build and grow a Google Cloud Platform (GCP)-focused SMB Sales team.
Optimize the team for scale and business growth by acquiring new customers and increasing spend from existing GCP customers.
Test and iterate on new approaches to grow spend in this segment, working closely with our partner team and our vendors, as well as working on programmatic initiatives to increase business growth.
Develop and implement best practices, ensuring the team is up to date with the newest trends and improve team skills through development and training."
Sales Operations,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Inside Sales Representatives, Customer Engineers, and Google Partners to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Sales & Account Management,"Collaborate and consult with customers with the goal of extending relationships and increasing the usage of DoubleClick solutions, specifically focusing on product feature adoption.
Develop a thorough understanding of client needs and corresponding organizational best practices across a wide range of industries (agencies and clients).
Develop strategic account plans for customers within the portfolio, identifying growth opportunities, while also collaborating closely with internal stakeholders.
Create relationships within customer organizations at all levels, including direct and indirect users of the product and usage decision-makers.
Act as the main point of contact for customers around all key areas of account management (training, product enhancement, global/regional campaigns, etc) and lead cross-functional efforts to identify and solve roadblocks."
Sales & Account Management,"Work collaboratively with a team to drive growth with existing customers
Develop high-level relationships to serve as a trusted consultant with major customers to optimize their advertising investments
Generate business plans to define your strategies and tactics
Manage multiple cross-product opportunities and projects"
Business Strategy,Responsibilities vary by role.
Sales Operations,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.
Travel regularly in EMEA for meetings, technical reviews and onsite delivery activities."
Sales Operations,"Be a thought leader in Google's video solutions.
Drive transformational solution sales through the leveraging of global best practice solutions and creation of new '1-to-many' solutions (including complementing local relevant content and competition).
Develop, leverage and deploy Brand solutions with the objective to upscale sales teams to approach clients with large, multi-faceted media propositions.
Ensure competitive perspectives and differentiated value propositions generated through market-relevant insights. Engage with Marketing to drive relevant industry research and establish Brand metrics.
Support sales teams by engaging directly with clients and agencies as required to drive YouTube understanding and adoption."
Product & Customer Support,"Implement creative ways to improve our customer relationships. Tailor and share online marketing strategy suggestions, and promote other Google products.
Communicate with customers, via phone and email.
Provide strategic advice and help our advertisers to get the best results from their advertising investment by working with them in a consultative role.
Share and collaborate with Specialists, Engineers and Product team members on new feature developments, leveraging your direct relationships with small and medium business advertisers."
Sales & Account Management,"Manage the mobile search book of business of an assigned specific area, from planning and presenting, to reporting.
Identify new opportunities to increase customer marketing investment efficiently on mobile.
Develop high-level relationships to serve as a mobile trusted consultant with major customers to optimize their advertising growth.
Simplify and package Google mobile advertising offering for sales and customers and serve as a liaison with vertical teams and customers regarding new beta tests and product launches.
Support product strategies working with product and global team, providing them with feedback and formulating product asks relevant to in-market needs."
Partnerships,"Define customer-centric and industry-specific use cases for Google to target via service partners; build ecosystem of service partners for Google’s cloud infrastructure offerings and Google SaaS offerings.
Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products. Develop Google reference architectures and solutions; commit to partner resources to product sales and implement for end customers.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google Cloud Platform technologies to partners to help them scale our joint business.
Advocate Google’s strategy in key industry events and shape industry agenda and standards.
Shape Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales and Marketing; support regional engagement with strategic global and regional partners."
Sales & Account Management,"Meet business growth targets and maximize the adoption and usage of DoubleClick Search across your customer portfolio
Lead presentations and quarterly business reviews to key accounts for DoubleClick Search.
Identify potential opportunities for new customers, structure proposals, working with internal support functions, and negotiate agreements for DoubleClick Search.
Create relationships within customer organizations at all levels including senior executives, direct and indirect users of DoubleClick Search, and usage/repurchase decision makers for DoubleClick Search.
Act as first point of contact for customers around all key areas (training, product enhancement, global/regional adoption) and lead cross-functional effort to identify and solve any issues for DoubleClick Search."
Sales Operations,"Develop solutions for client business and marketing challenges while also uncovering opportunities; Collaborate with Sales and Sales Operations to innovate and develop scalable solutions cross industry challenges.
Act as an industry advocate and analyst to surface key industry trends; Consult with clients on opportunities associated with trends and potential business impact.
Advise client partners on methodologies for marketing and media analytics, measurement and attribution; Help customers navigate industry standards and alternatives.
Seek out key decision makers, challenge the status quo and influence decisions; Foster client relationships with others in the organization including marketing/advertising, analytics, and corporate strategy, among others.
Partner with internal and external product, research, data and measurement teams to bring full analytical capabilities to customers."
